
Standard & Poors 500 Index,Last: 3778.9399,Change:  64.6999
"Date: February 1, 2021, 3:32 PM EST",Bid: 3778.3501,Ask: 3779.6499,Size: 1*1,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Feb 01 2021,SPXW210201C01000000,0,0,2776.5,2780.7,0,0.02,0.9999,0,0,1000.00,SPXW210201P01000000,0.05,0,0,0.05,0,31.001,-0.0001,0,120
Mon Feb 01 2021,SPXW210201C01100000,0,0,2676.5,2680.7,0,0.02,0.9999,0,0,1100.00,SPXW210201P01100000,0,0,0,0.05,0,28.939,-0.0001,0,0
Mon Feb 01 2021,SPXW210201C01200000,0,0,2576.5,2580.7,0,0,0.9996,0,0,1200.00,SPXW210201P01200000,0,0,0,0.05,0,26.9424,-0.0001,0,0
Mon Feb 01 2021,SPXW210201C01300000,0,0,2476.5,2480.7,0,29.8559,0.9994,0,0,1300.00,SPXW210201P01300000,0,0,0,0.05,0,25.1841,-0.0001,0,0
Mon Feb 01 2021,SPXW210201C01400000,0,0,2376.5,2380.7,0,0,0.9998,0,0,1400.00,SPXW210201P01400000,0.1,0,0,0.05,0,23.501,-0.0001,0,5
Mon Feb 01 2021,SPXW210201C01500000,0,0,2276.5,2280.7,0,26.001,0.9993,0,0,1500.00,SPXW210201P01500000,0,0,0,0.05,0,22.001,-0.0001,0,0
Mon Feb 01 2021,SPXW210201C01600000,0,0,2176.5,2180.7,0,21.4368,0.9998,0,0,1600.00,SPXW210201P01600000,0.1,0,0,0.05,0,20.2905,-0.0001,0,8
Mon Feb 01 2021,SPXW210201C01700000,0,0,2076.5,2080.7,0,22.6434,0.9991,0,0,1700.00,SPXW210201P01700000,0.05,0,0,0.05,0,19.001,-0.0001,0,135
Mon Feb 01 2021,SPXW210201C01800000,0,0,1976.5,1980.7,0,0,0.9998,0,0,1800.00,SPXW210201P01800000,0.05,0,0,0.05,0,17.7235,-0.0001,0,151
Mon Feb 01 2021,SPXW210201C01900000,0,0,1876.5,1880.7,0,17.3256,0.9997,0,0,1900.00,SPXW210201P01900000,0.1,0,0,0.05,0,16.4423,-0.0001,0,6
